delta/B 5T2g 5Eg 3T1g 3T2g 3Eg 3T1g 3T1g 3T2g 3T1g 3A2g 3T2g 3Eg 3T1g 3A1g 1A1g 1T1g 1T2g 1A2g 1T2g 1Eg 3T2g 3Eg 1A1g 1T1g 1Eg 1T2g 1A1g 1T2g 1Eg 1A2g 1T2g 1T1g 3A2g 3T1g 3T2g 3T1g 1T2g 1Eg 1T1g 1A1g 1Eg 1T2g 1A1g
 29.4444444 21.0271491 50.4715935 17.1458889 23.4588463 48.1177806 43.871612 48.8083287 45.2629213 69.1571972 63.0258769 52.5836185 73.6026574 75.826387 77.153075 0 26.6513296 39.4594259 63.9185843 55.2572278 55.658638 76.2749315 82.2943426 56.875887 62.964838 74.634912 65.2338898 89.8362907 79.4819361 84.4912324 87.6246028 89.8765324 91.5395259 89.0969389 99.6305324 99.6683898 112.376021 106.974831 109.496863 110.747346 108.495086 126.320765 136.417307 160.608109
 30 22.1121741 52.1121741 17.6928426 24.037212 49.2133926 44.957625 49.9146778 46.3460259 70.3940407 64.2776926 53.6670667 75.2387065 77.3787917 78.7936556 0 27.1916861 40.0622194 65.0410093 56.3251963 56.7451111 77.9047185 83.9288667 57.9649185 64.0938009 75.8080981 66.3285481 91.4097935 80.7855583 85.9357481 89.2277824 91.3427278 93.1466398 90.5707287 101.301582 101.274366 114.43825 108.792898 110.764384 112.366569 109.874193 128.440861 138.325846 162.54715
 30.5555556 23.1977611 53.7533167 18.239963 24.6147287 50.3091944 46.0441769 51.0211361 47.4298028 71.61895 65.5251815 54.7509167 76.8754981 78.9407083 80.4347981 0 27.732338 40.6629509 66.1624259 57.3945815 57.8321 79.5355389 85.5641481 59.0543852 65.221938 76.9774148 67.4232917 92.9786824 82.0788046 87.377638 90.8330963 92.819387 94.7554296 92.0499713 102.970556 102.881894 116.508101 110.607238 112.036624 113.986896 111.252548 130.565031 140.242522 164.493932
 31.1111111 24.2838926 55.3950037 18.7872444 25.1914361 51.4051861 47.13125 52.1276963 48.5142269 72.8331824 66.76845 55.8351704 78.5130028 80.5111009 82.0764852 0 28.273275 41.2617417 67.2829065 58.4653065 58.919588 81.1673426 87.2001556 60.1442731 66.3492917 78.1431565 68.5181315 94.5427556 83.3620991 88.8165713 92.4404343 94.3061028 96.365825 93.5345204 104.637603 104.490917 118.585098 112.417799 113.313833 115.608289 112.630525 132.692981 142.167179 166.448205
 31.6666667 25.3705491 57.0372157 19.3346815 25.7673704 52.5013667 48.218825 53.2343556 49.5992713 74.0378787 68.0076083 56.9198259 80.1511926 82.0890306 83.7186972 0 28.814488 41.8587028 68.4025148 59.5372972 60.0075583 82.8000852 88.8368648 61.2345713 67.4759019 79.3055907 69.6130815 96.1018065 84.6358972 90.2522361 94.0496935 95.8024324 97.9777611 95.0242296 106.30287 106.101376 120.668794 114.22455 114.596238 117.230712 114.008498 134.824455 144.099659 168.40972
 32.2222222 26.457713 58.6799352 19.8822694 26.3425685 53.597737 49.306887 54.3411093 50.6849148 75.234063 69.2427676 58.0048824 81.7900407 83.6736537 85.3614167 0 29.3559694 42.453938 69.5213139 60.610487 61.0959963 84.4337222 90.47425 62.3252657 68.6018046 80.4649639 70.70815 97.655625 85.9006722 91.6843435 95.6607787 97.307912 99.5911731 96.5189546 107.9665 107.713218 122.758769 116.027474 115.884041 118.854128 115.38684 136.959222 146.039803 170.378243
 32.7777778 27.5453685 60.3231463 20.4300028 26.917063 54.6942954 50.3954204 55.4479528 51.7711324 76.4226454 70.474037 59.090337 83.4295241 85.2642259 87.0046278 0 29.8977102 43.0475444 70.6393602 61.6848148 62.184887 86.0682167 92.112287 63.4163463 69.7270361 81.6214991 71.8033463 99.2039963 87.1569093 93.1126222 97.2736 98.822062 101.206003 98.0185519 109.628627 109.326392 124.854633 117.82657 117.177427 120.478504 116.765926 139.097075 147.987445 172.353538
 33.3333333 28.6335 61.9668333 20.9778778 27.4908843 55.7910407 51.4844093 56.5548833 52.8579046 77.6044315 71.7015296 60.176187 85.0696176 86.8600917 88.6483148 0 30.4397037 43.6396111 71.7567056 62.7602222 63.2742167 87.7035296 93.7509528 64.5078019 70.8516287 82.7754028 72.8986769 100.746705 88.4050926 94.5368213 98.8880731 100.344404 102.822194 99.5228778 111.289378 110.940848 126.956023 119.621851 118.476565 122.103808 118.14613 141.237829 149.942422 174.335383
 33.8888889 29.7220926 63.6109815 21.5258907 28.064063 56.8879731 52.5738389 57.6618963 53.9452111 78.7801333 72.9253546 61.2624278 86.7103 88.460675 90.292463 0 30.9819417 44.2302213 72.8733981 63.8366565 64.3639722 89.3396259 95.3902259 65.5996222 71.9756148 83.9268611 73.9941491 102.283531 89.6456981 95.9567074 100.50412 101.874459 104.439693 101.031793 112.948875 112.556542 129.062596 121.413339 119.781606 123.730009 119.527821 143.381314 151.904568 176.323561
 34.4444444 30.8111306 65.255575 22.0740361 28.6366269 57.9850898 53.6636963 58.7689889 55.0330333 79.9503759 74.1456222 62.3490556 88.35155 90.0654741 91.9370565 0 31.5244176 44.8194528 73.9894833 64.9140676 65.4541398 90.976475 97.0300861 66.6917972 73.0990231 85.0760463 75.0897667 103.814256 90.8791944 97.3720667 102.121667 103.411763 106.058447 102.545157 114.60723 114.173427 131.17404 123.201068 121.092691 125.357079 120.911369 145.527376 153.873713 178.31786
 35 31.9006019 66.9006019 22.6223111 29.2086028 59.0823898 54.7539685 59.8761574 56.1213519 81.1157111 75.3624417 63.4360648 89.9933472 91.67405 93.5820833 0 32.067125 45.4073778 75.1050028 65.9924083 66.5447083 92.6140435 98.670513 67.7843157 74.2218824 86.2231148 76.1855361 105.338664 92.1060306 98.7827009 103.740645 104.955865 107.678411 104.062836 116.264547 115.791463 133.290059 124.985081 122.409942 126.984988 122.297135 147.675875 155.849692 180.318079
 35.5555556 32.9904917 68.5460472 23.1707111 29.7800157 60.1798704 55.8446417 60.9834 57.2101509 82.2766259 76.5759204 64.5234519 91.6356731 93.2860194 95.2275287 0 32.6100574 45.9940639 76.2199954 67.0716361 67.6356657 94.2523046 100.311488 68.8771704 75.3442185 87.3682111 77.2814583 106.856535 93.326637 100.188429 105.360989 106.506331 109.299538 105.584694 117.920924 117.41061 135.410381 126.765427 123.733472 128.613709 123.685478 149.826682 157.832333 182.324018
 36.1111111 34.0807889 70.1919 23.7192333 30.3508907 61.2775315 56.9357056 62.090713 58.2994139 83.4335481 77.7861639 65.6112111 93.2785093 94.9010463 96.8733815 0 33.1532074 46.579575 77.3344954 68.1517102 68.727 95.8912306 101.952994 69.97035 76.4660574 88.5114676 78.3775389 108.367658 94.5414241 101.589087 106.982638 108.062752 110.921783 107.110599 119.576452 119.030829 137.534752 128.542164 125.063381 130.243219 125.076745 151.979678 159.821471 184.335488
 36.6666667 35.1714806 71.8381472 24.2678741 30.9212491 62.3753694 58.0271472 63.1980935 59.3891259 84.5868565 78.9932778 66.6993361 94.9218389 96.518838 98.5196287 0 33.6965704 47.1639704 78.448538 69.2325926 69.8187 97.5307954 103.595012 71.0638472 77.5874222 89.6530065 79.4737778 109.871824 95.7507769 102.984526 108.605535 109.624735 112.545107 108.640425 121.231213 120.652083 139.662937 130.315355 126.399753 131.873491 126.471278 154.134752 161.816936 186.352306
 37.2222222 36.2625556 73.4847778 24.8166306 31.4911139 63.4733824 59.1189556 64.3055407 60.4792704 85.736887 80.197363 67.7878213 96.5656463 98.1391361 100.166259 0 34.2401407 47.7473046 79.5621537 70.3142491 70.9107565 99.170975 105.237528 72.1576537 78.7083352 90.7929389 80.5701778 111.368832 96.9550602 104.374616 110.229625 111.191916 114.169469 110.174045 122.885285 122.27434 141.794717 132.085067 127.742665 133.504501 127.869406 156.291804 163.818562 188.374295
 37.7777778 37.3540028 75.1317806 25.3654981 32.0605046 64.5715694 60.2111204 65.41305 61.5698352 86.883937 81.3985194 68.876662 98.2099148 99.7617139 101.813262 0 34.783912 48.3296296 80.6753694 71.3966444 72.0031593 100.811746 106.880524 73.2517602 79.8288176 91.9313676 81.6667407 112.858491 98.1546139 105.759241 111.854858 112.763948 115.794831 111.711338 124.538738 123.897563 143.929888 133.85137 129.092176 135.136229 129.271443 158.450737 165.826183 190.401283
 38.3333333 38.4458111 76.7791444 25.914475 32.6294407 65.6699269 61.3036324 66.5206204 62.6608065 88.0282713 82.5968463 69.9658509 99.8546306 101.386373 103.460626 0 35.3278796 48.9109954 81.7882139 72.4797491 73.0958981 102.453088 108.523988 74.3461602 80.9488898 93.0683889 82.7634657 114.340616 99.3497556 107.138299 113.481186 114.340513 117.421158 113.252183 126.191638 125.521722 146.068261 135.614342 130.448337 136.76865 130.677693 160.611466 167.839635 192.433106
 38.8888889 39.5379704 78.4268593 26.4635583 33.1979407 66.7684528 62.3964806 67.62825 63.7521704 89.170125 83.7924389 71.0553833 101.499778 103.012935 105.108341 0 35.872038 49.4914463 82.900712 73.5635333 74.1889639 104.094979 110.167903 75.4408454 82.0685704 94.2040898 83.8603556 115.815038 100.540781 108.511708 115.108563 115.921308 119.048417 114.796466 127.844044 127.146787 148.209659 137.374058 131.811183 138.401746 132.088441 162.773907 169.858756 194.469604
 39.4444444 40.6304713 80.0749157 27.0127454 33.7660231 67.8671454 63.4896556 68.735937 64.8439157 90.3097102 84.9853898 72.1452519 103.145345 104.641245 106.756397 0 36.4163815 50.0710259 84.0128852 74.6479694 75.2823481 105.7374 111.812256 76.5358083 83.1878778 95.3385519 84.9574083 117.281601 101.727964 109.879398 116.736946 117.506057 120.676574 116.344071 129.496011 128.772728 150.35392 139.1306 133.180741 140.035496 133.503953 164.937984 171.883385 196.510624
 40 41.7233037 81.7233037 27.5620324 34.3337037 68.9660019 64.5831481 69.8436787 65.9360306 91.4472157 86.1757889 73.2354519 104.791318 106.271165 108.404785 0 36.9609074 50.649775 85.1247556 75.7330315 76.3760417 107.380333 113.457036 77.6310417 84.3068287 96.47185 86.054625 118.740166 102.91156 111.241314 118.366296 119.094502 122.305598 117.894893 131.14759 130.399518 152.500889 140.884047 134.55702 141.669881 134.924478 167.103626 173.913365 198.556019
 40.5555556 42.8164593 83.3720148 28.1114176 34.9009991 70.0650204 65.6769509 70.9514731 67.0285046 92.5828102 87.3637259 74.3259759 106.437685 107.902568 110.053496 0 37.5056102 51.2277315 86.2363444 76.8186944 77.4700361 109.02376 115.102228 78.7265398 85.4254398 97.6040537 87.1520046 120.190609 104.091805 112.597418 119.996573 120.6864 123.93546 119.448821 132.798827 132.02713 154.650425 142.634483 135.940022 143.304881 136.350242 169.270765 175.948539 200.605645
 41.1111111 43.9099278 85.0210389 28.6608991 35.4679231 71.1641972 66.7710546 72.0593194 68.121325 93.7166472 88.5492852 75.4168185 108.084433 109.535344 111.70252 0 38.0504852 51.8049306 87.3476685 77.9049361 78.5643241 110.667665 116.747819 79.8222944 86.5437259 98.7352278 88.2495472 121.632828 105.268916 113.947682 121.627743 122.281531 125.566131 121.005756 134.449764 133.655538 156.802394 144.381992 137.329734 144.940481 137.781447 171.439338 177.988756 202.659367
 41.6666667 45.0037028 86.6703694 29.2104731 36.0344926 72.2635315 67.8654509 73.1672167 69.2144833 94.8488648 89.73255 76.5079741 109.731553 111.169394 113.351851 0 38.5955287 52.3814074 88.4587472 78.9917333 79.6588981 112.312031 118.393801 80.9183009 87.6617019 99.8654315 89.3472509 123.066738 106.443095 115.292098 123.259769 123.879691 127.197585 122.565596 136.100439 135.284718 158.956672 146.126654 138.726133 146.576662 139.218275 173.609286 180.033865 204.717051
 42.2222222 46.097775 88.3199972 29.7601389 36.6007194 73.3630204 68.9601324 74.2751611 70.3079694 95.979587 90.9136009 77.5994361 111.379031 112.804631 115.001479 0 39.1407352 52.9571935 89.5695963 80.0790676 80.75375 113.956844 120.04016 82.0145528 88.7793806 100.994721 90.4451157 124.492279 107.61453 116.630666 124.89262 125.480687 128.829796 124.128245 137.750888 136.914645 161.113144 147.868555 140.129184 148.213408 140.660879 175.780553 182.083719 206.778571
 42.7777778 47.1921361 89.9699139 30.3098926 37.1666176 74.4626611 70.0550917 75.3831537 71.4017731 97.1089269 92.0925148 78.6911991 113.02686 114.440971 116.651395 0 39.6861028 53.5323185 90.6802296 81.1669167 81.8488731 115.602089 121.686887 83.1110426 89.8967769 102.123148 91.5431407 125.909409 108.783392 117.963401 126.526265 127.084344 130.462739 125.69361 139.401144 138.545299 163.2717 149.607777 141.538841 149.850705 142.109388 177.953085 184.138176 208.843805
 43.3333333 48.2867796 91.620113 30.8597333 37.7321991 75.5624519 71.1503213 76.4911917 72.4958861 98.236987 93.2693676 79.7832574 114.675028 116.078343 118.301594 0 40.2316269 54.106812 91.790663 82.2552639 82.9442602 117.247752 123.333971 84.2077667 91.0139028 103.250761 92.6413231 127.318113 109.94984 119.29033 128.160675 128.6905 132.09639 127.2616 141.051236 140.176657 165.43224 151.344402 142.955047 151.488534 143.563906 180.126835 186.197095 210.912632
 43.8888889 49.3816981 93.270587 31.4096583 38.2974759 76.6623898 72.2458148 77.5992741 73.5903 99.3638602 94.4442315 80.8756046 116.323525 117.716681 119.952069 0 40.7773028 54.6807 92.9009083 83.3440917 84.0399056 118.893819 124.981402 85.3047176 92.1307685 104.377606 93.739663 128.718394 111.114023 120.611491 129.795821 130.299004 133.730727 128.832128 142.701191 141.808699 167.594668 153.078512 144.377737 153.126884 145.024511 182.301754 188.260339 212.984943
 44.4444444 50.4768843 94.9213287 31.9596667 38.8624602 77.7624731 73.3415648 78.7073991 74.6850056 100.489632 95.6171769 81.9682352 117.972344 119.355924 121.60281 0 41.3231278 55.2540083 94.0109796 84.4333824 85.1358009 120.540281 126.62917 86.4018907 93.247387 105.503722 94.8381593 130.110281 112.276077 121.926933 131.431678 131.909715 135.365728 130.40511 144.351034 143.441404 169.758895 154.810188 145.806835 154.765739 146.491256 184.477797 190.327773 215.060625
 45 51.5723315 96.5723315 32.5097556 39.427162 78.8626991 74.4375657 79.8155667 75.7799954 101.614381 96.7882722 83.0611444 119.621473 120.996019 123.253813 0 41.8690991 55.826762 95.120888 85.5231204 86.2319417 122.187121 128.277268 87.4992815 94.3637685 106.62915 95.9368083 131.493824 113.436127 123.236718 133.068219 133.522505 137.001372 131.980465 146.000788 145.074753 171.924838 156.539506 147.242257 156.405086 147.964165 186.654924 192.399269 217.139574
 45.5555556 52.6680333 98.2235889 33.0599222 39.9915926 79.9630648 75.5338102 80.9237741 76.8752611 102.738178 97.9575824 84.1543259 121.270906 122.636917 124.90507 0 42.415212 56.3989824 96.2306435 86.6132907 87.3283222 123.834331 129.925684 88.5968833 95.4799231 107.753927 97.0356102 132.869093 114.594292 124.540912 134.705423 135.137254 138.637641 133.558114 147.650473 146.708728 174.092418 158.266547 148.683911 158.044912 149.443242 188.833094 194.4747 219.221688
 46.1111111 53.7639824 99.8750935 33.6101667 40.5557611 81.0635694 76.6302935 82.0320222 77.9707963 103.861086 99.1251704 85.247775 122.920633 124.278569 126.556575 0 42.9614639 56.9706926 97.3402574 87.7038796 88.4249343 125.4819 131.574412 89.6946926 96.5958611 108.878087 98.134562 134.23618 115.750678 125.839594 136.343264 136.753851 140.274513 135.137981 149.300108 148.343311 176.26156 159.991386 150.131696 159.685205 150.928468 191.012269 196.553942 221.30687
 46.6666667 54.8601741 101.526841 34.1604861 41.1196778 82.1642093 77.7270083 83.1403083 79.0665926 104.983168 100.291097 86.3414861 124.570648 125.920937 128.208322 0 43.5078519 57.541912 98.449738 88.7948722 89.521775 127.129816 133.223444 90.7927046 97.7115898 110.001662 99.2336639 135.595195 116.905387 127.132847 137.981722 138.372193 141.911971 136.719993 150.94971 149.978485 178.432196 161.714097 151.585508 161.325951 152.419798 193.192413 198.636875 223.395026
 47.2222222 55.9566019 103.178824 34.7108796 41.6833509 83.2649833 78.82395 84.2486333 80.1626444 106.104476 101.45542 87.4354537 126.220943 127.563981 129.860306 0 44.0543731 58.1126611 99.5590954 89.8862565 90.618838 128.778069 134.872769 91.8909139 98.8271204 111.124681 100.332912 136.946267 118.058512 128.420767 139.620776 139.992182 143.549999 138.304081 152.599295 151.614233 180.604261 163.434753 153.045233 162.967139 153.917173 195.373492 200.723383 225.486065
 47.7777778 57.0532602 104.831038 35.2613444 42.2467898 84.3658889 79.921113 85.3569935 81.2589444 107.225063 102.618198 88.5296722 127.871509 129.207665 131.512519 0 44.6010231 58.6829593 100.668337 90.9780194 91.7161176 130.426651 136.522383 92.9893167 99.9424593 112.247174 101.432306 138.289539 119.21014 129.703449 141.260406 141.613733 145.188578 139.890175 154.248879 153.250541 182.777693 165.153425 154.510756 164.608758 155.420511 197.555473 202.813355 227.579899
 48.3333333 58.1501435 106.483477 35.8118806 42.8100028 85.4669231 81.0184917 86.4653907 82.3554861 108.344974 103.779483 89.624138 129.522342 130.851957 133.164958 0 45.1478009 59.2528222 101.777472 92.0701491 92.8136083 132.075551 138.172278 94.0879074 101.057616 113.369167 102.531842 139.625169 120.36035 130.980998 142.900594 143.23676 146.827693 141.478211 155.898471 154.887392 184.952433 166.870181 155.981952 166.250798 156.929715 199.738327 204.906679 229.676445
 48.8888889 59.2472463 108.136135 36.3624843 43.3729981 86.5680852 82.1160806 87.5738222 83.4522648 109.464254 104.939329 90.7188463 131.173431 132.496828 134.817617 0 45.6947037 59.8222676 102.886506 93.1626352 93.9113065 133.724761 139.822444 95.1866833 102.172597 114.490684 103.63152 140.953328 121.509218 132.253523 144.541319 144.861188 148.467328 143.068127 157.548087 156.524771 187.128428 168.585091 157.458696 167.893247 158.444673 201.922022 207.00325 231.775622
 49.4444444 60.3445639 109.789008 36.9131565 43.9357824 87.6693722 83.2138759 88.682288 84.5492722 110.582942 106.097785 91.8137907 132.824774 134.142249 136.47049 0 46.2417269 60.391312 103.995448 94.2554657 95.0092065 135.374271 141.472879 96.2856398 103.28741 115.611749 104.731338 142.274196 122.656814 133.521136 146.182569 146.486944 150.107468 144.65986 159.197735 158.162666 189.305625 170.298218 158.940861 169.536095 159.965259 204.106531 209.102966 233.877352
 50 61.4420907 111.442091 37.4638944 44.498363 88.7707824 84.3118731 89.790787 85.6465037 111.701074 107.254901 92.9089676 134.476362 135.788194 138.123572 0 46.7888694 60.9599704 105.104303 95.3486306 96.1073046 137.024075 143.123572 97.3847731 104.402061 116.732384 105.831294 143.587965 123.803203 134.783954 147.824322 148.11396 151.748098 146.253354 160.847426 159.80106 191.483976 172.009626 160.428316 171.179332 161.49134 206.291828 211.205727 235.981559
